,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,1,377,167,54,73,0,3,2,0,0
Backdoor,0,323,135,6,79,0,0,20,19,1
DoS,91,2068,908,456,243,18,1,82,126,96
Exploits,200,2317,1044,5289,766,22,9,551,399,535
Fuzzers,6,812,306,27,4466,0,33,207,172,33
Generic,3,51,80,267,210,18125,2,17,61,55
Normal,2152,87,101,77,11279,1,21703,805,765,30
Reconnaissance,15,278,85,18,105,4,1,2855,106,29
Shellcode,0,3,2,3,30,0,0,68,270,2
Worms,0,0,0,0,4,0,0,1,4,35
