,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,20,460,139,43,0,0,15,0,0,0
Backdoor,17,401,146,5,3,0,0,0,10,1
DoS,207,2324,680,556,115,0,1,49,122,35
Exploits,273,2494,696,6293,301,0,12,450,396,217
Fuzzers,43,912,301,94,4000,0,17,31,652,12
Generic,5,31,74,393,97,18141,4,10,93,23
Normal,2162,26,39,390,11826,0,21538,34,940,45
Reconnaissance,22,262,48,43,12,0,0,2971,120,18
Shellcode,0,0,0,2,6,0,1,3,366,0
Worms,0,0,0,0,1,0,0,0,5,38
