model,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,train_seconds,predict_seconds,model_path
random_forest,0.7085701792741583,0.48497209953905784,0.754845570519836,0.49037035804995643,0.5668164440537073,380.9124526977539,3.4990007877349854,d:\Documents\Course's Project\i-have-a-simple-ids-to\offloading-for-nids-main\models\edge_ids\random_forest.joblib
extra_trees,0.6522129913035029,0.40698423018785784,0.7130519827705604,0.447972316585359,0.6101327603876848,457.24870443344116,2.2250850200653076,d:\Documents\Course's Project\i-have-a-simple-ids-to\offloading-for-nids-main\models\edge_ids\extra_trees.joblib
logistic_regression,0.6120949327114609,0.33511269238087565,0.6756587204232197,0.38318168798498314,0.5328012450637764,622.3026473522186,0.5641739368438721,d:\Documents\Course's Project\i-have-a-simple-ids-to\offloading-for-nids-main\models\edge_ids\logistic_regression.joblib
