,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,439,117,60,0,2,0,58,1,0,0
Backdoor,420,63,40,8,11,0,2,22,13,4
DoS,1293,1065,593,518,145,25,55,81,141,173
Exploits,1700,1066,549,4855,652,31,403,122,561,1193
Fuzzers,927,221,95,19,3959,8,21,330,342,140
Generic,19,16,20,276,129,18162,16,28,71,134
Normal,1982,11,8,344,9435,1,21373,1625,2105,116
Reconnaissance,102,147,76,9,200,9,1,611,1896,445
Shellcode,0,0,0,0,31,0,0,39,304,4
Worms,0,0,0,0,3,0,0,1,4,36
