sysTime 	ACTION 	ChannelUsed 	TransJob 	CPU 	RunningJob 	ActionQos 
10	0	0.0	0	0.0	0	0.0
20	0	0.0	0	0.0	0	0.0
30	0	0.0	0	0.0	0	0.0
40	0	0.0	0	0.0	0	0.0
50	5	32.19280948873624	2	0.0	0	0.0
60	5	16.09640474436812	1	0.1	1	0.0
70	5	0.0	0	0.2	2	0.0
80	5	0.0	0	0.2	2	0.0
90	5	0.0	0	0.2	2	0.0
100	0	0.0	0	0.2	2	0.0
110	0	0.0	0	0.2	2	0.0
120	0	0.0	0	0.2	2	0.0
130	0	0.0	0	0.2	2	0.0
140	0	0.0	0	0.2	2	0.0
150	1	20.75187496394219	1	0.1	1	2874.7904902982136
160	1	0.0	0	0.1	1	10780.4643386183
170	1	0.0	0	0.1	1	10780.4643386183
180	1	0.0	0	0.1	1	10780.4643386183
190	1	0.0	0	0.1	1	10780.4643386183
200	0	0.0	0	0.0	0	3716.226829519546
210	0	0.0	0	0.0	0	3716.226829519546
220	0	0.0	0	0.0	0	3716.226829519546
230	0	0.0	0	0.0	0	3716.226829519546
240	0	0.0	0	0.0	0	3716.226829519546
250	5	32.19280948873624	2	0.0	0	3716.226829519546
260	5	16.09640474436812	1	0.1	1	3716.226829519546
270	5	0.0	0	0.2	2	3716.226829519546
280	5	0.0	0	0.2	2	3716.226829519546
290	5	0.0	0	0.1	1	718.6976225745534
300	0	0.0	0	0.1	1	718.6976225745534
310	0	0.0	0	0.1	1	718.6976225745534
320	0	0.0	0	0.1	1	718.6976225745534
330	0	0.0	0	0.1	1	718.6976225745534
340	0	0.0	0	0.1	1	718.6976225745534
350	3	32.19280948873624	2	0.1	1	718.6976225745534
360	3	0.0	0	0.1	1	10780.4643386183
370	3	0.0	0	0.2	2	10780.4643386183
380	3	0.0	0	0.2	2	10780.4643386183
390	3	0.0	0	0.2	2	10780.4643386183
400	0	0.0	0	0.1	1	2874.790490298213
410	0	0.0	0	0.1	1	2874.790490298213
420	0	0.0	0	0.1	1	2874.790490298213
430	0	0.0	0	0.1	1	2874.790490298213
440	0	0.0	0	0.0	0	7186.976225745533
450	5	32.19280948873624	2	0.0	0	7186.976225745533
460	5	16.09640474436812	1	0.1	1	7186.976225745533
470	5	0.0	0	0.2	2	7186.976225745533
480	5	0.0	0	0.2	2	7186.976225745533
490	5	0.0	0	0.2	2	7186.976225745533
500	0	0.0	0	0.2	2	7186.976225745533
510	0	0.0	0	0.1	1	1437.3952451491068
520	0	0.0	0	0.1	1	1437.3952451491068
530	0	0.0	0	0.0	0	7186.976225745533
540	0	0.0	0	0.0	0	7186.976225745533
550	5	32.19280948873624	2	0.0	0	7186.976225745533
560	5	16.09640474436812	1	0.1	1	7186.976225745533
570	5	0.0	0	0.2	2	7186.976225745533
580	5	0.0	0	0.2	2	7186.976225745533
590	5	0.0	0	0.1	1	718.6976225745534
600	0	0.0	0	0.0	0	3593.4881128727666
610	0	0.0	0	0.0	0	3593.4881128727666
620	0	0.0	0	0.0	0	3593.4881128727666
630	0	0.0	0	0.0	0	3593.4881128727666
640	0	0.0	0	0.0	0	3593.4881128727666
650	5	32.19280948873624	2	0.0	0	3593.4881128727666
660	5	16.09640474436812	1	0.1	1	3593.4881128727666
