TIMESLOT 	 Throughout 	 Age 	 Run 	 commTotal 	 commEnergy 	 reward
10.0	37.6	2.696	9340.0	0.3171456492280482	2.634078049720345	1054854.6375175754
15.0	57.4	4.07	14070.0	0.5033307733764759	4.136776436108896	1562746.6957302603
20.0	75.8	5.348	18445.0	0.6629709423956364	5.485587488678626	2057441.807695622
25.0	94.6	6.722	23280.0	0.8147880851310917	6.763757682367095	2616686.065560401
30.0	113.2	8.098	28100.0	0.9694404422488608	8.071359289616545	3151171.508296713
35.0	131.6	9.394	32610.0	1.1214335584028676	9.37062722322294	3647269.7261265223
40.0	154.0	10.932	37795.0	1.359616134568444	11.1972274100425	4189347.178677153
45.0	172.8	12.284	42520.0	1.5105033823407144	12.52371075645495	4721448.9457688695
50.0	190.6	13.676	47500.0	1.645510301889411	13.701037322348299	5310048.7723564785
55.0	210.2	15.164	52710.0	1.8250829158483242	15.136685249127376	5886773.9104217235
60.0	228.2	16.478	57330.0	1.9613286488926671	16.334889585928668	6397522.169587869
65.0	247.2	17.81	61955.0	2.1190052134046797	17.64592682189457	6916540.290275494
70.0	266.4	19.184	66685.0	2.288090364470396	19.070574904311034	7455729.6549291685
75.0	285.2	20.448	71030.0	2.4453922024573496	20.406008220686157	7933299.495815384
80.0	304.0	21.784	75725.0	2.5858180303982854	21.579826423153087	8449211.045975763
85.0	324.0	23.244	80800.0	2.7762928652510026	23.078003039161644	9010918.776710978
90.0	342.2	24.528	85275.0	2.912802802089049	24.268106862605396	9507116.993779479
95.0	362.6	26.006	90380.0	3.1059190401002907	25.79159812364926	10075405.141399184
100.0	381.2	27.424	95335.0	3.2623166476084977	27.05010087083814	10668582.18128833
105.0	400.4	28.824	100265.0	3.4185029022742484	28.369707853002478	11233444.45635272
110.0	419.2	30.182	104975.0	3.5740592592991005	29.64573712597748	11769921.59563048
115.0	437.8	31.47	109400.0	3.7303492535918847	30.954636353499705	12293431.518550819
120.0	458.0	32.9	114245.0	3.923757334425699	32.42773864674064	12823120.679576242
125.0	476.8	34.188	118660.0	4.085842415604912	33.799333031299525	13318447.00293271
130.0	496.0	35.594	123610.0	4.244861978147793	35.12054085657307	13890358.445904281
135.0	515.2	37.002	128515.0	4.405708432252795	36.4717172607421	14439697.101034112
140.0	533.6	38.322	133130.0	4.556123146563288	37.773049127647134	14958908.221482787
