No 	 Uid 	 Jid  	 offloadtime 	 begintime 	 commutime 	 runtime 	 energy 	 AoI
1887	2	487	98.95	98.97	0.014598850624987891	0.075	0.10779531960498441	0.04
1888	4	957	98.95	98.96	0.0048662835416626304	0.25	0.035931773201661465	0.07
1889	2	488	99.05	99.06	0.011928129482900694	0.075	0.10435543077397609	0.03
1890	4	958	99.05	99.05	0.003976043160966898	0.5	0.03478514359132537	0.13
1891	4	959	99.15	99.15	0.003084058674756107	0.125	0.03363626757308587	0.04
1892	2	489	99.25	99.26	0.011928129482900694	0.075	0.10435543077397609	0.03
1893	4	960	99.25	99.25	0.003976043160966898	0.125	0.03478514359132537	0.04
1894	1	102	99.3	99.33	0.02657737251678429	0.1	0.15288765580161817	0.05
1895	0	101	99.3	99.34	0.033221715645980365	0.025	0.19110956975202273	0.05
1896	2	490	99.3	99.31	0.01993302938758822	0.225	0.11466574185121364	0.06
1897	4	961	99.3	99.3	0.006644343129196073	0.25	0.03822191395040454	0.07
1898	3	240	99.3	99.32	0.013288686258392145	0.4	0.07644382790080909	0.11
1899	4	962	99.4	99.4	0.003084058674756107	0.25	0.03363626757308587	0.07
1900	2	491	99.5	99.51	0.011928129482900694	0.15	0.10435543077397609	0.05
1901	4	963	99.5	99.5	0.003976043160966898	0.5	0.03478514359132537	0.13
1902	4	964	99.6	99.6	0.003084058674756107	0.5	0.03363626757308587	0.13
1903	4	965	99.7	99.7	0.003084058674756107	0.5	0.03363626757308587	0.13
1904	4	966	99.8	99.8	0.003084058674756107	0.125	0.03363626757308587	0.04
1905	2	492	99.9	99.91	0.011928129482900694	0.15	0.10435543077397609	0.05
1906	4	967	99.9	99.9	0.003976043160966898	0.5	0.03478514359132537	0.13
1907	2	493	100.05	100.07	0.014598850624987891	0.075	0.10779531960498441	0.03
1908	1	103	100.05	100.06	0.019465134166650522	0.15	0.14372709280664586	0.04
1909	0	102	100.05	100.08	0.024331417708313156	0.05	0.17965886600830736	0.05
1910	4	968	100.0	100.0	0.003084058674756107	0.5	0.03363626757308587	0.13
1911	3	241	100.15	100.15	0.009732567083325261	0.1	0.07186354640332293	0.03
1912	0	103	100.15	100.17	0.024331417708313156	0.05	0.17965886600830736	0.04
1913	1	104	100.15	100.16	0.019465134166650522	0.15	0.14372709280664586	0.05
1914	3	242	100.3	100.3	0.009732567083325261	0.1	0.07186354640332293	0.02
