strategy,processed,local,offloaded,dropped,drop_rate,avg_latency_ms,total_reward,cpu_saved
local,167,167,0,433,0.7216666666666667,63.24941317365267,-150312.45036650484,0.0
threshold,160,79,81,440,0.7333333333333333,85.59978026432219,-148202.2250197,648.0
rl,164,96,68,436,0.7266666666666667,92.06637631380697,-146038.49913314916,544.0
